week,habit,year,new_name,goal,type_norm,group,unit
8,Exposure Therapy,2026,Exposure Therapy,4,0,Fulfill,count
8,2 a month Sabbath,2026,Sabbath,1,0,Fulfill,count
8,Airplane Time 30m,2026,Airplane Time,30,0,Fulfill,min
8,5 Hours Creative Time,2026,Creative Time,5,0,Fulfill,hr
8,2 Hours Stranger Socializing,2026,Stranger Socializing,3,0,Social,hr
8,2 hours Friend Quality Time,2026,Friend Quality,3,0,Social,hr
8,100 Active Zone Minutes,2026,Active Zone Minutes,50,0,Health,min
8,Meal Prep 5 and Hours,2026,Meal Prep,7,0,Health,hr
8,Lift 3 times,2026,Lift,3,0,Health,count
8,3h Finding Roommates,2026,Finding Roommates,1.5,0,Family,hr
8,Helping Momo,2026,Helping Momo,3,0,Family,hr
8,1 Convo with Dad,2026,Convo with Dad,1,0,Family,count
8,Family Help,2026,Family Help,4,0,Family,hr
8,Eating Meals,2026,Eating Meals,10,1,Minimize,hr
8,Morning and Night Routine,2026,FT Routine,6,1,Minimize,hr
7,"15 Hours of Math, new note taking",2026,Math,15,0,Work,hr
7,5 hours Non-Math Work,2026,Non-Math,3,0,Work,hr
7,Library Trips,2026,Library Trips,3,0,Work,count
7,3h Tutoring JB,2026,Tutoring JB,3,0,Work,hr
7,3 Days where I did enough! (6h goal),2026,Days I did enough,3,0,Work,count
7,"1 hr Meeting Canceled Time, Guilt Free",2026,Meeting Canceled,1,0,Fulfill,hr
7,2 hours Star Item Time,2026,Star Item Time,2,0,Fulfill,hr
7,10min Spanish Practice,2026,Spanish Practice,2,0,Fulfill,count
7,Exposure Therapy,2026,Exposure Therapy,4,0,Fulfill,count
7,2 a month Sabbath,2026,Sabbath,1,0,Fulfill,count
7,Airplane Time 30m,2026,Airplane Time,30,0,Fulfill,min
7,5 Hours Creative Time,2026,Creative Time,5,0,Fulfill,hr
7,2 Hours Stranger Socializing,2026,Stranger Socializing,3,0,Social,hr
7,2 hours Friend Quality Time,2026,Friend Quality,3,0,Social,hr
7,100 Active Zone Minutes,2026,Active Zone Minutes,50,0,Health,min
7,Meal Prep 5 and Hours,2026,Meal Prep,7,0,Health,hr
7,Lift 3 times,2026,Lift,3,0,Health,count
7,3h Finding Roommates,2026,Finding Roommates,1.5,0,Family,hr
7,Helping Momo,2026,Helping Momo,3,0,Family,hr
7,1 Convo with Dad,2026,Convo with Dad,1,0,Family,count
7,Family Help,2026,Family Help,4,0,Family,hr
7,Eating Meals,2026,Eating Meals,10,1,Minimize,hr
7,Morning and Night Routine,2026,FT Routine,6,1,Minimize,hr
